r, Channel 1, Channel 2
6.37, -0.0782722, -0.0109277
6.38, -0.0808694, -0.0115206
6.39, -0.0834412, -0.0121116
6.4, -0.0859863, -0.0127005
6.41, -0.0885036, -0.013287
6.42, -0.0909918, -0.0138709
6.43, -0.0934499, -0.0144518
6.44, -0.0958766, -0.0150295
6.45, -0.0982709, -0.0156037
6.46, -0.100632, -0.0161742
6.47, -0.102958, -0.0167407
6.48, -0.105248, -0.017303
6.49, -0.107502, -0.0178607
6.5, -0.109718, -0.0184137
6.51, -0.111896, -0.0189616
6.52, -0.114033, -0.0195043
6.53, -0.11613, -0.0200415
6.54, -0.118186, -0.0205729
6.55, -0.120199, -0.0210983
6.56, -0.122168, -0.0216175
6.57, -0.124094, -0.0221302
6.58, -0.125974, -0.0226363
6.59, -0.127809, -0.0231354
6.6, -0.129597, -0.0236274
6.61, -0.131338, -0.0241121
6.62, -0.13303, -0.0245892
6.63, -0.134674, -0.0250585
6.64, -0.136268, -0.0255199
6.65, -0.137812, -0.025973
6.66, -0.139306, -0.0264178
6.67, -0.140748, -0.0268541
6.68, -0.142138, -0.0272816
6.69, -0.143475, -0.0277001
6.7, -0.144759, -0.0281095
6.71, -0.14599, -0.0285097
6.72, -0.147167, -0.0289004
6.73, -0.14829, -0.0292814
6.74, -0.149358, -0.0296527
6.75, -0.15037, -0.0300141
6.76, -0.151327, -0.0303654
6.77, -0.152228, -0.0307064
6.78, -0.153073, -0.0310371
6.79, -0.153861, -0.0313572
6.8, -0.154592, -0.0316668
6.81, -0.155267, -0.0319656
6.82, -0.155884, -0.0322535
6.83, -0.156445, -0.0325304
6.84, -0.156947, -0.0327962
6.85, -0.157392, -0.0330508
6.86, -0.15778, -0.0332941
6.87, -0.158109, -0.033526
6.88, -0.158381, -0.0337465
6.89, -0.158596, -0.0339554
6.9, -0.158752, -0.0341526
6.91, -0.158851, -0.0343382
6.92, -0.158892, -0.0345119
6.93, -0.158876, -0.0346738
6.94, -0.158802, -0.0348239
6.95, -0.158672, -0.034962
6.96, -0.158484, -0.0350881
6.97, -0.158239, -0.0352022
6.98, -0.157938, -0.0353043
6.99, -0.157581, -0.0353943
7, -0.157167, -0.0354721
7.01, -0.156698, -0.0355379
7.02, -0.156173, -0.0355915
7.03, -0.155594, -0.035633
7.04, -0.154959, -0.0356623
7.05, -0.154271, -0.0356796
7.06, -0.153528, -0.0356847
7.07, -0.152733, -0.0356777
7.08, -0.151884, -0.0356586
7.09, -0.150983, -0.0356274
7.1, -0.15003, -0.0355843
7.11, -0.149025, -0.0355291
7.12, -0.14797, -0.035462
7.13, -0.146865, -0.035383
7.14, -0.14571, -0.0352921
7.15, -0.144506, -0.0351894
7.16, -0.143253, -0.035075
7.17, -0.141953, -0.0349489
7.18, -0.140606, -0.0348113
7.19, -0.139213, -0.0346621
7.2, -0.137774, -0.0345015
7.21, -0.13629, -0.0343295
7.22, -0.134762, -0.0341462
7.23, -0.13319, -0.0339518
7.24, -0.131576, -0.0337463
7.25, -0.129921, -0.0335299
7.26, -0.128224, -0.0333026
7.27, -0.126487, -0.0330645
7.28, -0.124711, -0.0328158
7.29, -0.122896, -0.0325566
7.3, -0.121044, -0.032287
7.31, -0.119155, -0.0320071
7.32, -0.11723, -0.0317172
7.33, -0.11527, -0.0314172
7.34, -0.113277, -0.0311074
7.35, -0.11125, -0.0307878
7.36, -0.109191, -0.0304588
7.37, -0.107101, -0.0301203
7.38, -0.104981, -0.0297725
7.39, -0.102832, -0.0294157
7.4, -0.100655, -0.0290499
7.41, -0.09845, -0.0286754
7.42, -0.096219, -0.0282922
7.43, -0.0939628, -0.0279006
7.44, -0.0916824, -0.0275008
7.45, -0.0893787, -0.0270929
7.46, -0.0870529, -0.0266771
7.47, -0.084706, -0.0262535
7.48, -0.0823389, -0.0258224
7.49, -0.0799527, -0.025384
7.5, -0.0775484, -0.0249384
7.51, -0.0751272, -0.0244858
7.52, -0.07269, -0.0240265
7.53, -0.070238, -0.0235606
7.54, -0.067772, -0.0230883
7.55, -0.0652933, -0.0226098
7.56, -0.0628029, -0.0221254
7.57, -0.0603017, -0.0216351
7.58, -0.057791, -0.0211393
7.59, -0.0552716, -0.0206382
7.6, -0.0527448, -0.0201319
7.61, -0.0502115, -0.0196206
7.62, -0.0476727, -0.0191046
7.63, -0.0451296, -0.0185841
7.64, -0.0425832, -0.0180592
7.65, -0.0400346, -0.0175303
7.66, -0.0374847, -0.0169975
